4,2	1,0	-1,1	2,4
4,6	0,7	-1,5	3,5
4,0	1,0	-0,8	2,0
4,6	0,8	-1,7	4,3
4,3	0,9	-1,2	2,9
4,8	0,4	-2,5	8,1
4,5	0,7	-1,3	3,0
4,2	0,7	-1,4	3,7
4,3	0,3	-1,9	6,6
2,7	1,5	0,3	1,3
3,1	1,5	0,0	1,2
4,1	1,2	-1,0	2,2
3,5	1,4	-0,4	1,4
4,1	1,3	-1,0	2,2
2,7	1,4	0,5	1,5
2,4	1,3	0,8	1,9
3,9	1,3	-0,8	1,9
3,8	1,3	-0,7	1,7
3,7	1,2	-0,5	1,5
2,4	1,4	0,8	1,8
3,8	1,4	-0,6	1,6
4,1	1,1	-1,0	2,3
3,3	1,1	0,4	1,6
3,9	1,0	-0,9	2,2
3,6	1,1	-0,5	1,6
2,6	1,2	0,6	1,7
2,0	0,9	1,4	4,0
2,3	1,1	0,9	2,4
2,8	1,1	0,3	1,5
2,3	1,0	0,9	2,4
3,8	1,0	-0,1	1,3
3,7	0,9	-0,8	2,2
4,0	0,5	-1,5	4,8
3,4	0,8	-0,9	2,6
4,1	1,0	-0,6	1,6
2,4	0,6	1,1	3,2
2,6	0,7	0,5	1,9
2,8	0,7	0,0	1,7
1,9	0,6	1,2	4,9
2,4	0,6	1,2	5,2
2,1	0,6	1,2	3,6
1,8	0,4	0,9	3,5
2,0	0,4	0,7	3,1
1,8	0,4	1,5	6,9
1,9	0,4	1,9	7,5
1,5	0,3	1,1	3,8
4,9	0,2	-3,7	16,4
4,8	0,0	-3,6	31,9
4,8	0,2	-3,3	14,6
4,6	0,2	-2,7	11,7
4,8	0,0	-0,1	2,4
4,8	0,0	-0,1	2,4
4,8	0,0	-0,1	2,4
4,8	0,0	-0,1	2,4
1,2	0,0	-0,1	2,7
1,2	0,0	-0,1	2,7
1,1	0,0	-0,1	2,7
1,2	0,0	-0,1	2,7
4,24	0,87	-1,41	3,50
4,33	0,83	-1,42	3,42
4,76	0,56	-2,11	5,73
4,58	0,41	-1,97	6,16
3,98	1,27	-0,88	2,00
2,83	1,46	0,28	1,27
3,16	1,38	-0,06	1,23
3,29	1,48	-0,16	1,20
2,82	1,38	0,29	1,33
2,83	1,09	0,95	2,44
2,20	1,12	1,12	2,76
3,30	1,14	-0,14	1,38
2,15	0,86	1,28	3,82
2,57	1,04	0,66	1,93
2,92	0,77	0,18	1,53
3,35	0,79	-0,31	1,62
3,11	0,74	-0,41	1,76
1,82	0,64	1,50	5,56
1,75	0,35	0,99	3,55
1,65	0,27	1,04	4,67
1,73	0,34	1,94	8,57
4,83	0,10	-5,66	41,88
4,74	0,14	-4,33	26,88
4,82	0,04	-0,09	2,43
4,88	0,04	-0,08	2,44
1,13	0,03	-0,09	2,69
1,22	0,03	-0,09	2,70
